ORDER : { -4.31602e+08 , -4.31602e+08 , -4.31602e+08 , -4.31602e+08 , -4.31602e+08 , -4.31602e+08 , -4.31602e+08 , -4.31602e+08 , -4.31602e+08 , }
ORDER : { 2 , 2 , 2 , 4 , 4 , 4 , 6 , 6 , 6 , }
ORDER : { 6 , 4 , 2 , 6 , 4 , 2 , 6 , 4 , 2 , }
ORDER : { 5 , 4 , 2 , 6 , 4 , 2 , 6 , 4 , 2 , }
ORDER : { 5 , 3 , 2 , 6 , 4 , 2 , 6 , 4 , 3 , }
ORDER : { 5 , 3 , 1 , 6 , 4 , 2 , 6 , 5 , 3 , }
ORDER : { 5 , 3 , 1 , 6 , 4 , 2 , 7 , 5 , 3 , }
ORDER : { 4 , 3 , 1 , 6 , 4 , 2 , 7 , 5 , 3 , }
ORDER : { 4 , 3 , 1 , 6 , 4 , 2 , 7 , 5 , 4 , }
ORDER : { 4 , 3 , 1 , 5 , 4 , 2 , 7 , 5 , 4 , }
ORDER : { 4 , 3 , 1 , 5 , 4 , 3 , 7 , 5 , 4 , }
ORDER : { 4 , 2 , 1 , 5 , 4 , 3 , 7 , 5 , 4 , }
ORDER : { 4 , 2 , 1 , 5 , 4 , 3 , 7 , 6 , 4 , }
ORDER : { 3 , 2 , 1 , 5 , 4 , 3 , 7 , 6 , 4 , }
ORDER : { 3 , 2 , 1 , 5 , 4 , 3 , 7 , 6 , 5 , }
ORDER : { 3 , 2 , 1 , 5 , 4 , 3 , 6 , 6 , 5 , }
ORDER : { 3 , 2 , 2 , 4 , 4 , 3 , 6 , 6 , 5 , }
ORDER : { 2 , 2 , 2 , 4 , 4 , 4 , 6 , 6 , 5 , }
ORDER : { 2 , 2 , 2 , 4 , 4 , 4 , 5 , 6 , 6 , }
ORDER : { 2 , 2 , 3 , 3 , 4 , 4 , 5 , 6 , 6 , }
ORDER : { 1 , 2 , 3 , 3 , 4 , 5 , 5 , 6 , 6 , }
ORDER : { 1 , 2 , 3 , 3 , 4 , 5 , 5 , 6 , 7 , }
ORDER : { 1 , 2 , 3 , 3 , 4 , 5 , 4 , 6 , 7 , }
ORDER : { 1 , 2 , 4 , 3 , 4 , 5 , 4 , 6 , 7 , }
ORDER : { 1 , 2 , 4 , 3 , 4 , 5 , 4 , 5 , 7 , }
ORDER : { 1 , 3 , 4 , 3 , 4 , 5 , 4 , 5 , 7 , }
ORDER : { 1 , 3 , 4 , 2 , 4 , 5 , 4 , 5 , 7 , }
ORDER : { 1 , 3 , 4 , 2 , 4 , 6 , 4 , 5 , 7 , }
ORDER : { 1 , 3 , 4 , 2 , 4 , 6 , 3 , 5 , 7 , }
ORDER : { 1 , 3 , 5 , 2 , 4 , 6 , 3 , 5 , 7 , }
ORDER : { 1 , 3 , 5 , 2 , 4 , 6 , 3 , 5 , 6 , }
ORDER : { 2 , 3 , 5 , 2 , 4 , 6 , 3 , 4 , 6 , }
ORDER : { 2 , 4 , 5 , 2 , 4 , 6 , 2 , 4 , 6 , }
ORDER : { 2 , 4 , 6 , 2 , 4 , 6 , 2 , 4 , 6 , }
ORDER : { 2 , 4 , 6 , 2 , 4 , 6 , 2 , 4 , 5 , }
